Name,Company Domain Name,City,State/Region,Number of Employees,Client Sector,Company Stage,Organization Size (Staff),Service Line,Client Health,Client Since,Account NPS
Larkspur Wealth Partners,larkspurwealthpartners.com,Aurora,CO,75,Financial Services,Active Client,5,Organizational Design,Healthy,2024-12-23,100
Fairhaven Capital,fairhavencapital.com,Portland,OR,13,Financial Services,At Risk,1,Organizational Design,At Risk,2026-06-25,0
Northwind Associates,northwindassociates.com,San Francisco,CA,51,Professional Services,Active Client,3,Organizational Design,Healthy,2026-08-14,100
Beacon Digital,beacondigital.com,Santa Ana,CA,18,Technology & SaaS,Active Client,1,Organizational Design,Healthy,2025-02-03,0
Hallmark Group,hallmarkgroup.com,Jacksonville,FL,16,Professional Services,Active Client,1,Organizational Design,Healthy,2026-02-09,
Orchard Brands,orchardbrands.com,Long Beach,CA,48,Retail & Consumer,Active Client,3,Organizational Design,Healthy,2026-08-14,100
Meridian Works,meridianworks.com,El Paso,TX,21,Manufacturing,Active Client,1,Organizational Design,Watchlist,2025-04-10,0
Quarry Supply Co,quarrysupplyco.com,Denver,CO,10,Logistics & Supply Chain,Active Client,1,Organizational Design,Healthy,2026-06-22,0
Fenwick Trust,fenwicktrust.com,Tucson,AZ,22,Nonprofit & Social Impact,Active Client,1,Organizational Design,Healthy,2026-08-14,0
Bramble Brands,bramblebrands.com,Long Beach,CA,20,Retail & Consumer,Active Client,2,Organizational Design,Healthy,2026-07-09,0
Underhill Partners,underhillpartners.com,Tucson,AZ,12,Professional Services,Active Client,1,Organizational Design,Watchlist,2026-05-11,0
Oakfield Freight,oakfieldfreight.com,Denver,CO,90,Logistics & Supply Chain,Active Client,5,Organizational Design,Healthy,2025-04-30,0
Alder Construction,alderconstruction.com,Raleigh,NC,6,Construction & Trades,Active Client,1,Organizational Design,Healthy,2026-06-25,100
