Type,Title,When
Call,Engagement check-in,2025-09-17
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-09-18
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-09-18
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-09-19
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-22
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-22
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-09-22
Call,Engagement check-in,2025-09-22
Call,Engagement check-in,2025-09-22
Call,Engagement check-in,2025-09-23
Call,Follow-up call,2025-09-23
Call,Follow-up call,2025-09-24
Call,Engagement check-in,2025-09-25
Call,Engagement check-in,2025-09-25
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-09-26
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-09-26
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-09-26
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-09-29
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-29
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-09-29
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-09-29
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2025-09-29
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-09-29
Call,Engagement check-in,2025-09-29
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2025-10-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-01
Call,Engagement check-in,2025-10-01
Call,Discovery call,2025-10-01
Meeting,Scoping session,2025-10-01
Call,Engagement check-in,2025-10-02
Meeting,Diagnostic readout,2025-10-02
Call,Engagement check-in,2025-10-03
Call,Engagement check-in,2025-10-03
Call,Follow-up call,2025-10-03
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-10-06
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-06
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-10-06
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-10-06
Call,Discovery call,2025-10-06
Call,Follow-up call,2025-10-06
Meeting,Stakeholder alignment,2025-10-06
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-10-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-08
Meeting,Engagement review,2025-10-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-10-09
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-10-10
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-10-10
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-10-13
Call,Follow-up call,2025-10-13
Meeting,Diagnostic readout,2025-10-13
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-10-14
Call,Follow-up call,2025-10-14
Meeting,Diagnostic readout,2025-10-14
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-15
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2025-10-15
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-10-15
Call,Engagement check-in,2025-10-15
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-10-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-20
Call,Engagement check-in,2025-10-20
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-10-21
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-10-21
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-10-21
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-23
Call,Engagement check-in,2025-10-23
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-10-24
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-10-24
Call,Engagement check-in,2025-10-24
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-10-27
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-27
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-27
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-10-27
Call,Engagement check-in,2025-10-27
Call,Engagement check-in,2025-10-27
Call,Engagement check-in,2025-10-27
Meeting,Engagement review,2025-10-27
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-10-28
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-10-28
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-10-28
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2025-10-28
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-29
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-10-29
Call,Engagement check-in,2025-10-29
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-10-30
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-10-30
Meeting,Scoping session,2025-10-30
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2025-11-03
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-11-03
Call,Engagement check-in,2025-11-03
Call,Engagement check-in,2025-11-04
Meeting,Engagement review,2025-11-04
Call,Engagement check-in,2025-11-05
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-11-06
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2025-11-06
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-11-06
Call,Engagement check-in,2025-11-07
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-11-10
Call,Follow-up call,2025-11-10
Call,Follow-up call,2025-11-10
Call,Engagement check-in,2025-11-10
Meeting,Diagnostic readout,2025-11-10
Meeting,Engagement review,2025-11-10
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-13
Call,Engagement check-in,2025-11-13
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-14
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-14
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-14
Call,Discovery call,2025-11-14
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-17
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-11-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-17
Meeting,Proposal review,2025-11-17
Meeting,Engagement review,2025-11-17
Meeting,Engagement review,2025-11-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2025-11-18
Call,Engagement check-in,2025-11-19
Call,Discovery call,2025-11-19
Meeting,Engagement review,2025-11-19
Meeting,Engagement review,2025-11-19
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2025-11-20
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2025-11-21
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-21
Meeting,Scoping session,2025-11-21
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2025-11-24
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-11-24
Meeting,Engagement review,2025-11-26
Note,Shared two anonymised case studies from similar-stage organizations.,2025-11-28
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-12-01
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2025-12-01
Call,Engagement check-in,2025-12-01
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2025-12-02
Note,Sent the program outline and a sample cohort schedule.,2025-12-04
Call,Engagement check-in,2025-12-08
Meeting,Engagement review,2025-12-08
Meeting,Engagement review,2025-12-08
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2025-12-09
Call,Engagement check-in,2025-12-11
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-12-12
Note,Sent the program outline and a sample cohort schedule.,2025-12-15
Note,Client considering pausing the remaining cohort — retention conversation needed.,2025-12-15
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-12-15
Call,Follow-up call,2025-12-15
Call,Engagement check-in,2025-12-15
Call,Discovery call,2025-12-15
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-12-16
Meeting,Engagement review,2025-12-17
Meeting,Engagement review,2025-12-17
Meeting,Engagement review,2025-12-18
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-12-22
Call,Follow-up call,2025-12-22
Meeting,Scoping session,2025-12-22
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2025-12-23
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2025-12-26
Call,Engagement check-in,2025-12-26
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2025-12-29
Meeting,Stakeholder alignment,2025-12-29
Meeting,Scoping session,2025-12-29
Call,Follow-up call,2026-01-02
Meeting,Engagement review,2026-01-05
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2026-01-07
Note,No decision — client paused all L&amp;D spend this quarter.,2026-01-07
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-01-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-01-12
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-01-13
Call,Engagement check-in,2026-01-13
Call,Follow-up call,2026-01-13
Call,Engagement check-in,2026-01-15
Call,Engagement check-in,2026-01-15
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-01-16
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-01-19
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-01-19
Call,Engagement check-in,2026-01-19
Call,Engagement check-in,2026-01-19
Call,Engagement check-in,2026-01-20
Call,Follow-up call,2026-01-22
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-01-26
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-01-26
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-01-26
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-01-26
Call,Engagement check-in,2026-01-26
Call,Engagement check-in,2026-01-28
Meeting,Diagnostic readout,2026-01-28
Call,Engagement check-in,2026-01-30
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-02-02
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-02-02
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-02-02
Call,Engagement check-in,2026-02-02
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-02-03
Call,Engagement check-in,2026-02-05
Meeting,Engagement review,2026-02-06
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-02-09
Call,Follow-up call,2026-02-09
Call,Follow-up call,2026-02-09
Meeting,Engagement review,2026-02-10
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-02-11
Call,Follow-up call,2026-02-13
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-02-16
Call,Engagement check-in,2026-02-18
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-02-19
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-02-20
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-02-23
Call,Engagement check-in,2026-02-23
Meeting,Diagnostic readout,2026-02-23
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-02-25
Meeting,Proposal review,2026-02-26
Call,Follow-up call,2026-02-27
Call,Engagement check-in,2026-03-03
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-03-06
Call,Discovery call,2026-03-06
Call,Engagement check-in,2026-03-09
Call,Discovery call,2026-03-09
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-03-10
Call,Follow-up call,2026-03-10
Call,Engagement check-in,2026-03-12
Meeting,Engagement review,2026-03-12
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-03-13
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-03-13
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-03-13
Meeting,Engagement review,2026-03-13
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-16
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-03-16
Call,Follow-up call,2026-03-16
Meeting,Engagement review,2026-03-16
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-17
Call,Engagement check-in,2026-03-17
Meeting,Engagement review,2026-03-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-03-18
Call,Engagement check-in,2026-03-18
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-03-20
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-03-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-03-23
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-03-23
Call,Engagement check-in,2026-03-23
Call,Follow-up call,2026-03-23
Call,Follow-up call,2026-03-24
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-03-25
Call,Engagement check-in,2026-03-25
Call,Engagement check-in,2026-03-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-26
Call,Engagement check-in,2026-03-26
Call,Follow-up call,2026-03-26
Call,Discovery call,2026-03-26
Meeting,Engagement review,2026-03-26
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-27
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-30
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-30
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-03-30
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-30
Note,Shared two anonymised case studies from similar-stage organizations.,2026-03-30
Call,Engagement check-in,2026-03-30
Call,Engagement check-in,2026-03-30
Call,Engagement check-in,2026-03-30
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-03-31
Note,Lost — needed delivery across timezones we do not currently staff.,2026-03-31
Call,Follow-up call,2026-03-31
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-04-02
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-04-02
Call,Follow-up call,2026-04-02
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-04-03
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-04-03
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-04-06
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-04-06
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-04-06
Call,Follow-up call,2026-04-06
Call,Discovery call,2026-04-06
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-04-07
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-04-07
Call,Engagement check-in,2026-04-07
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-04-08
Call,Follow-up call,2026-04-10
Meeting,Diagnostic readout,2026-04-10
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2026-04-13
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-04-13
Call,Follow-up call,2026-04-13
Call,Engagement check-in,2026-04-14
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-04-16
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-04-16
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-04-16
Note,Shared two anonymised case studies from similar-stage organizations.,2026-04-16
Call,Discovery call,2026-04-16
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-04-17
Meeting,Diagnostic readout,2026-04-20
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-04-21
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-04-21
Meeting,Engagement review,2026-04-21
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-04-22
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-04-22
Call,Discovery call,2026-04-22
Meeting,Diagnostic readout,2026-04-22
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-04-23
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-04-24
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-04-24
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-04-24
Meeting,Diagnostic readout,2026-04-24
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-04-27
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-04-27
Call,Follow-up call,2026-04-27
Meeting,Engagement review,2026-04-27
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-04-28
Meeting,Scoping session,2026-04-28
Call,Discovery call,2026-04-29
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-04-30
Call,Discovery call,2026-04-30
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-05-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-01
Call,Follow-up call,2026-05-01
Call,Engagement check-in,2026-05-04
Call,Follow-up call,2026-05-04
Call,Engagement check-in,2026-05-04
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-05-05
Call,Follow-up call,2026-05-05
Call,Follow-up call,2026-05-05
Meeting,Engagement review,2026-05-05
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-05-06
Meeting,Stakeholder alignment,2026-05-06
Call,Engagement check-in,2026-05-07
Call,Follow-up call,2026-05-07
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-08
Call,Follow-up call,2026-05-08
Call,Engagement check-in,2026-05-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-11
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-11
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-11
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-05-11
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-05-11
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2026-05-11
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-05-11
Note,Shared two anonymised case studies from similar-stage organizations.,2026-05-11
Call,Engagement check-in,2026-05-11
Call,Engagement check-in,2026-05-11
Call,Engagement check-in,2026-05-11
Call,Engagement check-in,2026-05-11
Call,Engagement check-in,2026-05-11
Call,Follow-up call,2026-05-11
Call,Follow-up call,2026-05-11
Meeting,Diagnostic readout,2026-05-11
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-12
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-05-12
Call,Discovery call,2026-05-12
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-05-13
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-05-13
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-05-14
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2026-05-14
Call,Follow-up call,2026-05-14
Note,Two sessions rescheduled by the client; momentum slipping. Account review scheduled.,2026-05-15
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-15
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-05-18
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-05-18
Note,Sponsor raised concerns about cohort attendance. Escalating to delivery lead.,2026-05-18
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-05-18
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-05-18
Call,Discovery call,2026-05-18
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-19
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-19
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-19
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-05-19
Note,Executive sponsor changed mid-engagement; re-selling the value internally.,2026-05-19
Call,Engagement check-in,2026-05-19
Call,Follow-up call,2026-05-19
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-05-20
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-05-21
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-05-21
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-21
Call,Follow-up call,2026-05-21
Call,Discovery call,2026-05-21
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-05-22
Call,Engagement check-in,2026-05-22
Meeting,Proposal review,2026-05-22
Note,Client considering pausing the remaining cohort — retention conversation needed.,2026-05-25
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-25
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-05-25
Note,Shared two anonymised case studies from similar-stage organizations.,2026-05-25
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-05-25
Call,Engagement check-in,2026-05-25
Call,Engagement check-in,2026-05-25
Call,Engagement check-in,2026-05-25
Meeting,Stakeholder alignment,2026-05-25
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-05-26
Call,Engagement check-in,2026-05-26
Meeting,Scoping session,2026-05-26
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-05-27
Note,Client considering pausing the remaining cohort — retention conversation needed.,2026-05-27
Call,Discovery call,2026-05-27
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-05-28
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-05-28
Call,Engagement check-in,2026-05-29
Call,Follow-up call,2026-05-29
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-01
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-06-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-01
Call,Discovery call,2026-06-01
Call,Discovery call,2026-06-01
Meeting,Scoping session,2026-06-01
Meeting,Stakeholder alignment,2026-06-01
Note,Sent the program outline and a sample cohort schedule.,2026-06-02
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-06-02
Call,Engagement check-in,2026-06-02
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2026-06-03
Meeting,Proposal review,2026-06-03
Meeting,Stakeholder alignment,2026-06-03
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-06-04
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-06-04
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-06-04
Call,Follow-up call,2026-06-04
Note,Sent the program outline and a sample cohort schedule.,2026-06-05
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-06-05
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-06-05
Meeting,Engagement review,2026-06-05
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-08
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-08
Note,Sent the program outline and a sample cohort schedule.,2026-06-08
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-06-08
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-06-08
Call,Follow-up call,2026-06-08
Call,Follow-up call,2026-06-08
Meeting,Stakeholder alignment,2026-06-08
Meeting,Stakeholder alignment,2026-06-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-06-09
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-06-09
Call,Engagement check-in,2026-06-09
Call,Follow-up call,2026-06-09
Note,Shared two anonymised case studies from similar-stage organizations.,2026-06-10
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-06-10
Call,Engagement check-in,2026-06-11
Call,Discovery call,2026-06-11
Call,Follow-up call,2026-06-11
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2026-06-12
Call,Engagement check-in,2026-06-12
Call,Follow-up call,2026-06-12
Call,Follow-up call,2026-06-12
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-15
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-06-15
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-06-15
Call,Engagement check-in,2026-06-15
Call,Follow-up call,2026-06-15
Call,Follow-up call,2026-06-15
Meeting,Proposal review,2026-06-15
Meeting,Scoping session,2026-06-15
Meeting,Proposal review,2026-06-15
Meeting,Diagnostic readout,2026-06-15
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-06-16
Call,Discovery call,2026-06-16
Meeting,Stakeholder alignment,2026-06-16
Call,Engagement check-in,2026-06-17
Call,Follow-up call,2026-06-17
Meeting,Diagnostic readout,2026-06-17
Call,Follow-up call,2026-06-18
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-06-19
Call,Follow-up call,2026-06-19
Call,Discovery call,2026-06-19
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-06-22
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-06-22
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-22
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-06-22
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-06-22
Call,Discovery call,2026-06-22
Call,Follow-up call,2026-06-22
Call,Follow-up call,2026-06-22
Meeting,Stakeholder alignment,2026-06-22
Note,No decision — client paused all L&amp;D spend this quarter.,2026-06-23
Call,Engagement check-in,2026-06-23
Call,Discovery call,2026-06-23
Call,Follow-up call,2026-06-23
Call,Follow-up call,2026-06-23
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-24
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-06-24
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-06-24
Call,Follow-up call,2026-06-24
Call,Discovery call,2026-06-24
Call,Follow-up call,2026-06-24
Note,Shared two anonymised case studies from similar-stage organizations.,2026-06-25
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-06-25
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-06-25
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2026-06-25
Call,Engagement check-in,2026-06-25
Call,Follow-up call,2026-06-25
Meeting,Diagnostic readout,2026-06-25
Meeting,Engagement review,2026-06-25
Meeting,Engagement review,2026-06-25
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-06-26
Note,Shared two anonymised case studies from similar-stage organizations.,2026-06-26
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-06-26
Note,Shared two anonymised case studies from similar-stage organizations.,2026-06-26
Call,Discovery call,2026-06-26
Meeting,Engagement review,2026-06-26
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-29
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-06-29
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-06-29
Note,Sent the program outline and a sample cohort schedule.,2026-06-29
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-06-29
Note,Sent the program outline and a sample cohort schedule.,2026-06-29
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-06-29
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-06-29
