Name,Website,Phone Number,City,State,Number of Employees,zia_industry,zia_company_stage,zia_org_size,zia_service_line,zia_client_health,Create Date
Stonebridge Dental Care,https://stonebridgedentalcare.example,+18069025048,San Francisco,CA,20,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-06-24
Cavendish Smile Dentistry,https://cavendishsmiledentistry785.example,+14312422374,Seattle,WA,8,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-05-19
Granville Orthodontics,https://granvilleorthodontics786.example,+15738715201,Denver,CO,42,Orthodontics,active_client,3,organizational_design,healthy,2025-10-27
Silverbrook Orthodontic Group,https://silverbrookorthodonticgroup.example,+18652601169,Boston,MA,44,Orthodontics,active_client,4,organizational_design,healthy,2024-10-05
Harbour Dental Studio,https://harbourdentalstudio.example,+13947096438,El Paso,TX,9,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-03-11
Pinehurst Dental Care Group,https://pinehurstdentalcaregroup789.example,+19222624102,Nashville,TN,48,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-09-22
Sinclair Dental Group,https://sinclairdentalgroup790.example,+15134039531,Detroit,MI,34,General Dentistry — Group,active_client,2,organizational_design,healthy,2026-04-11
Highpoint Dental Studio,https://highpointdentalstudio.example,+13258913493,Oklahoma City,OK,8,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2024-09-14
Kingsley Dental Partners,https://kingsleydentalpartners.example,+13248276094,Portland,OR,66,Dental Services Organization,active_client,6,organizational_design,healthy,2024-09-30
Ellswood Dental Studio,https://ellswooddentalstudio.example,+18798402830,Las Vegas,NV,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-12-02
Belmont Root Canal Specialists,https://belmontrootcanalspecialists794.example,+18206362483,Memphis,TN,12,Periodontics,active_client,1,organizational_design,healthy,2026-01-29
Riverstone Dentistry,https://riverstonedentistry.example,+14954406273,Louisville,KY,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-07-01
Prescott Dental Care,https://prescottdentalcare.example,+14564366808,Baltimore,MD,15,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-07-31
Clearwater Dental Group,https://clearwaterdentalgroup.example,+18043488218,Milwaukee,WI,18,General Dentistry — Group,active_client,2,organizational_design,watchlist,2025-09-04
Camden Orthodontic Group,https://camdenorthodonticgroup798.example,+15098151336,Albuquerque,NM,34,Orthodontics,at_risk,2,organizational_design,at_risk,2025-10-07
Sinclair Dental Care Group,https://sinclairdentalcaregroup799.example,+17363204732,Tucson,AZ,60,General Dentistry — Group,at_risk,5,organizational_design,at_risk,2025-03-10
Thornbury Periodontics,https://thornburyperiodontics.example,+12389253016,Fresno,CA,14,Periodontics,active_client,1,organizational_design,healthy,2025-03-23
Glenwood Dental Care Group,https://glenwooddentalcaregroup801.example,+18606873087,Mesa,AZ,60,General Dentistry — Group,at_risk,5,organizational_design,at_risk,2025-11-04
Silverbrook Dental Group,https://silverbrookdentalgroup802.example,+16587116446,Sacramento,CA,48,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-08-10
Thornbury Endodontic Associates,https://thornburyendodonticassociate803.example,+14629011393,Atlanta,GA,22,Periodontics,active_client,1,organizational_design,healthy,2025-12-21
Fieldstone Family Dentistry Group,https://fieldstonefamilydentistrygro.example,+18733179660,Kansas City,MO,72,General Dentistry — Group,active_client,4,organizational_design,healthy,2026-02-12
Windsor Orthodontic Specialists,https://windsororthodonticspecialist.example,+15913704218,Long Beach,CA,48,Orthodontics,active_client,4,organizational_design,healthy,2024-12-11
Cedar Point Dental Partners,https://cedarpointdentalpartners806.example,+15366617535,Raleigh,NC,375,Dental Services Organization,active_client,25,organizational_design,healthy,2025-10-19
Foxfield Surgical Arts,https://foxfieldsurgicalarts807.example,+13924662982,Miami,FL,12,Oral Surgery,active_client,1,organizational_design,healthy,2024-10-07
Prescott Kids Dental Care,https://prescottkidsdentalcare.example,+13044236007,Cleveland,OH,10,Pediatric Dentistry,active_client,1,organizational_design,healthy,2026-07-18
Redwood Endodontic Associates,https://redwoodendodonticassociates809.example,+14376936238,New Orleans,LA,18,Periodontics,at_risk,1,organizational_design,at_risk,2025-02-18
Westgate ENT Associates,https://westgateentassociates.example,+12148099852,Arlington,TX,13,Medical — Specialty,active_client,1,organizational_design,watchlist,2025-10-02
Kingsley Orthodontic Group,https://kingsleyorthodonticgroup.example,+13936195169,Bakersfield,CA,18,Orthodontics,active_client,2,organizational_design,watchlist,2025-02-20
Harbour Oral Health Partners,https://harbouroralhealthpartners.example,+12215674870,Tampa,FL,480,Dental Services Organization,active_client,30,organizational_design,healthy,2025-04-04
Draycott Dentistry,https://draycottdentistry813.example,+12159666305,Aurora,CO,13,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-04-24
Hollis Family Dental,https://hollisfamilydental814.example,+17166638937,Santa Ana,CA,14,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2026-07-07
Wexford Orthodontics,https://wexfordorthodontics.example,+14348568865,Anaheim,CA,44,Orthodontics,at_risk,4,organizational_design,at_risk,2025-01-19
Camden Dental Group,https://camdendentalgroup.example,+12626893605,New York,NY,34,General Dentistry — Group,active_client,2,organizational_design,watchlist,2025-06-24
Windsor Braces & Aligners,https://windsorbracesaligners817.example,+15492866487,Los Angeles,CA,56,Orthodontics,active_client,4,organizational_design,watchlist,2026-07-02
Westgate Endodontic Associates,https://westgateendodonticassociates.example,+18157478271,Chicago,IL,17,Periodontics,active_client,1,organizational_design,healthy,2025-01-16
Stonebridge Orthodontic Group,https://stonebridgeorthodonticgroup.example,+15605757863,Houston,TX,56,Orthodontics,active_client,4,organizational_design,watchlist,2025-12-14
Westgate Dental Care Group,https://westgatedentalcaregroup.example,+15392704384,Phoenix,AZ,39,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-10-13
Alder Creek Dental Group,https://aldercreekdentalgroup821.example,+13058232667,Philadelphia,PA,65,General Dentistry — Group,active_client,5,organizational_design,healthy,2025-10-28
Windsor Smile Dentistry,https://windsorsmiledentistry822.example,+17678922274,San Antonio,TX,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-09-14
Lockhart Dental Collective,https://lockhartdentalcollective.example,+16777851574,San Diego,CA,544,Dental Services Organization,active_client,32,organizational_design,healthy,2025-01-25
Beacon Rehab Associates,https://beaconrehabassociates.example,+13796129051,Dallas,TX,12,Physical Therapy,active_client,1,organizational_design,healthy,2024-12-07
Cavendish Root Canal Specialists,https://cavendishrootcanalspecialist.example,+18965363967,San Jose,CA,17,Periodontics,active_client,1,organizational_design,watchlist,2025-02-20
Bramwell Pediatric Dentistry,https://bramwellpediatricdentistry.example,+14032131645,Austin,TX,18,Pediatric Dentistry,active_client,1,organizational_design,healthy,2026-05-21
Ellswood Dental Partners,https://ellswooddentalpartners.example,+19745353704,Jacksonville,FL,462,Dental Services Organization,active_client,33,organizational_design,healthy,2025-11-10
Clearwater Root Canal Specialists,https://clearwaterrootcanalspecialis828.example,+12695416149,Fort Worth,TX,7,Periodontics,at_risk,1,organizational_design,at_risk,2025-01-24
Meridian Dental Care Group,https://meridiandentalcaregroup829.example,+14116775940,Columbus,OH,48,General Dentistry — Group,at_risk,4,organizational_design,at_risk,2025-12-03
Harbour Orthodontics,https://harbourorthodontics830.example,+19287754710,Indianapolis,IN,20,Orthodontics,active_client,2,organizational_design,healthy,2026-05-20
Summit Ridge Rehab Associates,https://summitridgerehabassociates.example,+19205871152,Charlotte,NC,21,Physical Therapy,active_client,1,organizational_design,healthy,2026-04-21
Prescott Dental Group,https://prescottdentalgroup832.example,+18243522982,San Francisco,CA,85,General Dentistry — Group,active_client,5,organizational_design,healthy,2024-12-04
Silverbrook Surgical Arts,https://silverbrooksurgicalarts833.example,+17446128552,Seattle,WA,7,Oral Surgery,active_client,1,organizational_design,healthy,2024-08-10
Sinclair Dental Partners,https://sinclairdentalpartners834.example,+17713457497,Denver,CO,126,Dental Services Organization,active_client,14,organizational_design,healthy,2025-04-10
Foxfield Oral Health Partners,https://foxfieldoralhealthpartners.example,+16684264699,Boston,MA,338,Dental Services Organization,active_client,26,organizational_design,watchlist,2025-06-12
Stonebridge Rehab Associates,https://stonebridgerehabassociates.example,+14278806958,El Paso,TX,18,Physical Therapy,active_client,1,organizational_design,healthy,2025-08-04
Stonebridge Pediatric Dentistry,https://stonebridgepediatricdentistr.example,+14042918839,Nashville,TN,9,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-05-27
Thornbury Periodontal Specialists,https://thornburyperiodontalspeciali.example,+18437615877,Detroit,MI,5,Periodontics,active_client,1,organizational_design,watchlist,2025-05-22
Fieldstone Family Dental,https://fieldstonefamilydental.example,+18575505265,Oklahoma City,OK,12,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-07-27
Kingsley Dental Collective,https://kingsleydentalcollective840.example,+12378844951,Portland,OR,128,Dental Services Organization,active_client,8,organizational_design,healthy,2025-06-29
Draycott Family Dental,https://draycottfamilydental.example,+16728972949,Las Vegas,NV,13,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-04-23
Oakhurst Root Canal Specialists,https://oakhurstrootcanalspecialists.example,+16468951601,Memphis,TN,10,Periodontics,active_client,1,organizational_design,healthy,2025-07-01
Highpoint Physical Therapy,https://highpointphysicaltherapy.example,+13109707258,Louisville,KY,9,Physical Therapy,active_client,1,organizational_design,healthy,2025-01-17
Fieldstone Smile Dentistry,https://fieldstonesmiledentistry844.example,+14549722483,Baltimore,MD,15,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-10-23
Beacon Dental Care,https://beacondentalcare.example,+16298488479,Milwaukee,WI,7,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-12-08
Tarrant Orthodontics,https://tarrantorthodontics.example,+14035987423,Albuquerque,NM,36,Orthodontics,active_client,3,organizational_design,healthy,2025-04-04
Riverstone Periodontal Specialists,https://riverstoneperiodontalspecial.example,+17345065404,Tucson,AZ,12,Periodontics,active_client,1,organizational_design,healthy,2024-09-11
Riverstone Dental Associates,https://riverstonedentalassociates.example,+17504839121,Fresno,CA,28,General Dentistry — Group,active_client,2,organizational_design,healthy,2025-10-05
Windsor Dental Care,https://windsordentalcare849.example,+19194123035,Mesa,AZ,19,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2026-07-15
Brookvale Orthodontic Group,https://brookvaleorthodonticgroup850.example,+19373776312,Sacramento,CA,44,Orthodontics,active_client,4,organizational_design,healthy,2025-03-02
Ridgeway Kids Dental Care,https://ridgewaykidsdentalcare.example,+16866041461,Atlanta,GA,18,Pediatric Dentistry,active_client,1,organizational_design,watchlist,2024-12-25
Granville Dental Group,https://granvilledentalgroup852.example,+17468887683,Kansas City,MO,52,General Dentistry — Group,active_client,4,organizational_design,healthy,2025-11-25
Westgate Oral Health Partners,https://westgateoralhealthpartners853.example,+16475323357,Long Beach,CA,600,Dental Services Organization,active_client,40,organizational_design,watchlist,2026-05-25
Alder Creek Dental Partners,https://aldercreekdentalpartners.example,+12373463565,Raleigh,NC,680,Dental Services Organization,active_client,40,organizational_design,watchlist,2025-01-24
Everly Dental Care,https://everlydentalcare855.example,+12009208440,Miami,FL,13,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-06-20
Cavendish Orthodontic Specialists,https://cavendishorthodonticspeciali856.example,+16758512811,Cleveland,OH,27,Orthodontics,active_client,3,organizational_design,healthy,2025-12-31
Granville Dental Group,https://granvilledentalgroup857.example,+14594046382,New Orleans,LA,55,General Dentistry — Group,at_risk,5,organizational_design,at_risk,2026-07-19
Ashford Pediatric Dentistry,https://ashfordpediatricdentistry.example,+12976744285,Arlington,TX,20,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-05-09
Hollis Dental Alliance,https://hollisdentalalliance.example,+16842417609,Bakersfield,CA,120,Dental Services Organization,active_client,10,organizational_design,healthy,2026-07-24
Everly Root Canal Specialists,https://everlyrootcanalspecialists860.example,+12808056359,Tampa,FL,14,Periodontics,at_risk,1,organizational_design,at_risk,2026-01-24
Riverstone Dental Associates,https://riverstonedentalassociates861.example,+15267424856,Aurora,CO,70,General Dentistry — Group,active_client,5,organizational_design,watchlist,2024-09-20
Foxfield Smile Partners,https://foxfieldsmilepartners.example,+14017335090,Santa Ana,CA,324,Dental Services Organization,active_client,18,organizational_design,healthy,2026-04-02
Clearwater Dental Partners,https://clearwaterdentalpartners.example,+14132993131,Anaheim,CA,336,Dental Services Organization,active_client,28,organizational_design,healthy,2026-06-14
Lockhart Orthodontic Specialists,https://lockhartorthodonticspecialis.example,+14573728231,New York,NY,68,Orthodontics,active_client,4,organizational_design,healthy,2024-09-12
Ellswood Periodontics,https://ellswoodperiodontics.example,+18362331352,Los Angeles,CA,5,Periodontics,active_client,1,organizational_design,healthy,2025-05-22
Oakhurst Oral Health Partners,https://oakhurstoralhealthpartners866.example,+17019215931,Chicago,IL,210,Dental Services Organization,active_client,15,organizational_design,healthy,2026-07-25
Ridgeway ENT Associates,https://ridgewayentassociates.example,+12786511312,Houston,TX,9,Medical — Specialty,active_client,1,organizational_design,healthy,2025-04-30
Wexford Orthodontics,https://wexfordorthodontics868.example,+16593843190,Phoenix,AZ,14,Orthodontics,active_client,1,organizational_design,healthy,2026-04-13
Clearwater Kids Dental Care,https://clearwaterkidsdentalcare.example,+17118536170,Philadelphia,PA,21,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-10-19
Lockhart Sports Rehab,https://lockhartsportsrehab.example,+15729897222,San Antonio,TX,10,Physical Therapy,active_client,1,organizational_design,watchlist,2026-08-03
Lakeshore Dentistry,https://lakeshoredentistry871.example,+18253432883,San Diego,CA,19,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-10-27
Everly Dental Care,https://everlydentalcare872.example,+14942349699,Dallas,TX,16,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-06-11
Stonebridge Braces & Aligners,https://stonebridgebracesaligners873.example,+13543128804,San Jose,CA,54,Orthodontics,active_client,3,organizational_design,healthy,2026-03-25
Foxfield Dental Alliance,https://foxfielddentalalliance874.example,+12156355909,Austin,TX,260,Dental Services Organization,active_client,26,organizational_design,healthy,2025-07-17
Redwood Oral Surgery Associates,https://redwoodoralsurgeryassociates.example,+18553871891,Jacksonville,FL,19,Oral Surgery,active_client,1,organizational_design,healthy,2025-02-16
Bramwell Root Canal Specialists,https://bramwellrootcanalspecialists876.example,+14463562683,Fort Worth,TX,6,Periodontics,active_client,1,organizational_design,healthy,2025-06-30
Ellswood Dental Partners,https://ellswooddentalpartners877.example,+14396694153,Columbus,OH,261,Dental Services Organization,active_client,29,organizational_design,healthy,2025-06-13
Silverbrook Dental Partners,https://silverbrookdentalpartners.example,+16104566027,Indianapolis,IN,448,Dental Services Organization,active_client,32,organizational_design,watchlist,2025-06-09
Redwood Smile Dentistry,https://redwoodsmiledentistry.example,+15422523963,Charlotte,NC,18,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2026-04-15
Ashford Dental Alliance,https://ashforddentalalliance.example,+18922993799,San Francisco,CA,169,Dental Services Organization,active_client,13,organizational_design,healthy,2025-06-09
Cedar Point Root Canal Specialists,https://cedarpointrootcanalspecialis881.example,+16539305082,Seattle,WA,13,Periodontics,active_client,1,organizational_design,healthy,2025-05-25
Beacon Family Dental,https://beaconfamilydental882.example,+17744145126,Denver,CO,20,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2024-09-02
Wynn Dental Partners,https://wynndentalpartners883.example,+16949526588,Boston,MA,273,Dental Services Organization,active_client,21,organizational_design,healthy,2026-03-19
Granville Dentistry,https://granvilledentistry.example,+17569376330,El Paso,TX,6,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2026-04-19
Cedar Point Smile Dentistry,https://cedarpointsmiledentistry885.example,+12798823651,Nashville,TN,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-03-02
Cedar Point Dental Care,https://cedarpointdentalcare886.example,+14707174310,Detroit,MI,11,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-08-10
Cavendish Dental Alliance,https://cavendishdentalalliance887.example,+14689968883,Oklahoma City,OK,592,Dental Services Organization,at_risk,37,organizational_design,at_risk,2024-11-20
Windsor Family Dentistry Group,https://windsorfamilydentistrygroup.example,+14109291545,Portland,OR,40,General Dentistry — Group,active_client,4,organizational_design,healthy,2026-03-27
Fairmont Root Canal Specialists,https://fairmontrootcanalspecialists.example,+19203303010,Las Vegas,NV,7,Periodontics,at_risk,1,organizational_design,at_risk,2024-11-03
Glenwood Orthodontic Group,https://glenwoodorthodonticgroup.example,+19945224107,Memphis,TN,45,Orthodontics,active_client,3,organizational_design,healthy,2026-03-16
Wexford Root Canal Specialists,https://wexfordrootcanalspecialists891.example,+13974604252,Louisville,KY,19,Periodontics,active_client,1,organizational_design,healthy,2024-12-14
Northline Dental Care,https://northlinedentalcare892.example,+17197364467,Baltimore,MD,15,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-03-24
Foxfield Dental Care,https://foxfielddentalcare.example,+15818734084,Milwaukee,WI,19,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-07-27
Pinehurst Dental Associates,https://pinehurstdentalassociates894.example,+13363544920,Albuquerque,NM,22,General Dentistry — Group,at_risk,2,organizational_design,at_risk,2026-04-13
Fairmont Family Dental,https://fairmontfamilydental.example,+16862822369,Tucson,AZ,7,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-01-28
Tarrant Dentistry,https://tarrantdentistry896.example,+16413877466,Fresno,CA,6,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-10-31
Granville Orthodontic Group,https://granvilleorthodonticgroup.example,+18603254892,Mesa,AZ,68,Orthodontics,active_client,4,organizational_design,healthy,2025-11-30
Oakhurst Dental Care Group,https://oakhurstdentalcaregroup.example,+18344473525,Sacramento,CA,75,General Dentistry — Group,active_client,5,organizational_design,healthy,2025-10-07
Brookvale Kids Dental Care,https://brookvalekidsdentalcare899.example,+18824462043,Atlanta,GA,10,Pediatric Dentistry,active_client,1,organizational_design,healthy,2026-02-21
Highpoint Smile Dentistry,https://highpointsmiledentistry900.example,+15964862121,Kansas City,MO,9,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2026-01-31
Camden Oral & Maxillofacial Surgery,https://camdenoralmaxillofacialsurge.example,+12629727896,Long Beach,CA,12,Oral Surgery,active_client,1,organizational_design,healthy,2025-04-29
Ellswood Root Canal Specialists,https://ellswoodrootcanalspecialists.example,+19677831878,Raleigh,NC,18,Dental,active_client,1,organizational_design,healthy,2026-05-03
Stonebridge Kids Dental Care,https://stonebridgekidsdentalcare.example,+18497307522,Miami,FL,22,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-05-19
Ellswood Dentistry,https://ellswooddentistry.example,+19517852371,Cleveland,OH,11,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-01-05
Highpoint Sports Rehab,https://highpointsportsrehab.example,+19737689448,New Orleans,LA,21,Physical Therapy,active_client,1,organizational_design,healthy,2025-02-06
Highpoint Dental Care,https://highpointdentalcare906.example,+15116068355,Arlington,TX,8,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-01-03
Foxfield Family Dentistry Group,https://foxfieldfamilydentistrygroup.example,+18324851687,Bakersfield,CA,36,General Dentistry — Group,active_client,3,organizational_design,healthy,2024-08-17
Beacon Surgical Arts,https://beaconsurgicalarts.example,+16489932564,Tampa,FL,19,Oral Surgery,at_risk,1,organizational_design,at_risk,2025-07-21
Meridian Dentistry,https://meridiandentistry909.example,+18427752354,Aurora,CO,5,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-05-18
Belmont Family Dental,https://belmontfamilydental.example,+17636222416,Santa Ana,CA,19,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-01-03
Northline Dental Studio,https://northlinedentalstudio911.example,+14045131146,Anaheim,CA,21,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-05-28
Maplewood Periodontal Specialists,https://maplewoodperiodontalspeciali912.example,+14854488109,New York,NY,10,Periodontics,active_client,1,organizational_design,healthy,2024-08-25
Hollis Dental Associates,https://hollisdentalassociates.example,+15835688731,Los Angeles,CA,36,General Dentistry — Group,active_client,4,organizational_design,healthy,2025-07-03
Ridgeway Braces & Aligners,https://ridgewaybracesaligners914.example,+18696971809,Chicago,IL,44,Orthodontics,at_risk,4,organizational_design,at_risk,2025-04-21
Ellswood Dental Care Group,https://ellswooddentalcaregroup.example,+17035607552,Houston,TX,18,General Dentistry — Group,active_client,2,organizational_design,watchlist,2025-07-22
Wynn Orthodontic Specialists,https://wynnorthodonticspecialists.example,+18904841200,Phoenix,AZ,36,Orthodontics,active_client,4,organizational_design,watchlist,2026-01-04
Tarrant Family Dental,https://tarrantfamilydental.example,+15207212078,Philadelphia,PA,15,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-12-16
Cedar Point Movement Clinic,https://cedarpointmovementclinic.example,+19873216146,San Antonio,TX,16,Physical Therapy,active_client,1,organizational_design,healthy,2025-01-14
Bramwell Dental Partners,https://bramwelldentalpartners.example,+14008727064,San Diego,CA,558,Dental Services Organization,active_client,31,organizational_design,healthy,2025-08-23
Silverbrook Oral Health Partners,https://silverbrookoralhealthpartner.example,+13529452484,Dallas,TX,496,Dental Services Organization,active_client,31,organizational_design,healthy,2025-08-25
Wexford Dental Studio,https://wexforddentalstudio921.example,+14944308147,San Jose,CA,16,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2024-09-20
Cedar Point Dental Partners,https://cedarpointdentalpartners922.example,+19224543085,Austin,TX,117,Dental Services Organization,active_client,9,organizational_design,healthy,2024-10-17
Glenwood Dental Partners,https://glenwooddentalpartners.example,+13095509970,Jacksonville,FL,264,Dental Services Organization,at_risk,24,organizational_design,at_risk,2026-05-12
Sinclair Orthodontics,https://sinclairorthodontics924.example,+12355677152,Fort Worth,TX,72,Orthodontics,at_risk,4,organizational_design,at_risk,2024-08-17
Camden Dentistry,https://camdendentistry925.example,+17669727787,Columbus,OH,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-09-22
Harbour Family Dental,https://harbourfamilydental.example,+13543985300,Indianapolis,IN,13,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-07-13
Summit Ridge Family Dental,https://summitridgefamilydental927.example,+16628465589,Charlotte,NC,19,General Dentistry — Solo,at_risk,1,organizational_design,at_risk,2024-08-16
Foxfield Dental Group,https://foxfielddentalgroup928.example,+16439725510,San Francisco,CA,51,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-08-04
Wynn Family Dentistry Group,https://wynnfamilydentistrygroup.example,+18195819708,Seattle,WA,26,General Dentistry — Group,active_client,2,organizational_design,healthy,2025-10-23
Ellswood Dental Studio,https://ellswooddentalstudio930.example,+15417258312,Denver,CO,13,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-06-26
Everly Dentistry,https://everlydentistry931.example,+12245175647,Boston,MA,19,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-10-03
Glenwood Dentistry,https://glenwooddentistry.example,+17546849708,El Paso,TX,12,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-09-30
Wynn Endodontic Associates,https://wynnendodonticassociates.example,+16793308426,Nashville,TN,22,Periodontics,at_risk,1,organizational_design,at_risk,2024-12-18
Camden Family Dentistry Group,https://camdenfamilydentistrygroup.example,+12043521520,Detroit,MI,70,General Dentistry — Group,active_client,5,organizational_design,healthy,2026-07-12
Summit Ridge Orthodontics,https://summitridgeorthodontics935.example,+13249194232,Oklahoma City,OK,48,GP dental,active_client,4,organizational_design,watchlist,2025-09-07
Meridian Orthodontic Group,https://meridianorthodonticgroup.example,+12367454581,Portland,OR,18,Orthodontics,active_client,2,organizational_design,healthy,2026-03-15
Beacon Smile Partners,https://beaconsmilepartners.example,+15965811170,Las Vegas,NV,288,Dental Services Organization,active_client,32,organizational_design,healthy,2025-07-11
Beacon Dentistry,https://beacondentistry.example,+18473334828,Memphis,TN,14,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-06-29
Oakhurst Dental Group,https://oakhurstdentalgroup.example,+19537377239,Louisville,KY,60,General Dentistry — Group,active_client,4,organizational_design,healthy,2024-12-17
Lakeshore Oral & Maxillofacial Surgery,https://lakeshoreoralmaxillofacialsu.example,+17633934184,Baltimore,MD,8,Oral Surgery,active_client,1,organizational_design,healthy,2025-02-09
Maplewood Dental Care,https://maplewooddentalcare941.example,+13175101862,Milwaukee,WI,22,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-08-09
Sinclair Family Dentistry Group,https://sinclairfamilydentistrygroup942.example,+14748914966,Albuquerque,NM,48,General Dentistry — Group,active_client,3,organizational_design,healthy,2025-10-01
Lockhart Dental Care,https://lockhartdentalcare.example,+16053955846,Tucson,AZ,11,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-05-30
Fairmont Smile Dentistry,https://fairmontsmiledentistry.example,+18993327321,Fresno,CA,6,dental group,active_client,1,organizational_design,healthy,2024-08-12
Meridian Dental Group,https://meridiandentalgroup945.example,+19852424112,Mesa,AZ,33,General Dentistry — Group,active_client,3,organizational_design,watchlist,2024-11-16
Lockhart Dental Studio,https://lockhartdentalstudio.example,+12178202434,Sacramento,CA,7,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2024-09-12
Everly Dentistry,https://everlydentistry947.example,+12013379261,Atlanta,GA,6,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2024-12-10
Bayview Smile Dentistry,https://bayviewsmiledentistry.example,+14425863790,Kansas City,MO,5,General Dentistry — Solo,active_client,1,organizational_design,watchlist,2025-03-13
Redwood Children’s Dental,https://redwoodchildrensdental.example,+17276723905,Long Beach,CA,22,Pediatric Dentistry,active_client,1,organizational_design,healthy,2025-12-08
Summit Ridge Oral Surgery Associates,https://summitridgeoralsurgeryassoci.example,+17643737313,Raleigh,NC,13,Oral Surgery,active_client,1,organizational_design,healthy,2026-07-28
Glenwood Root Canal Specialists,https://glenwoodrootcanalspecialists.example,+12836217877,Miami,FL,10,Periodontics,active_client,1,organizational_design,healthy,2026-02-22
Camden Dental Care Group,https://camdendentalcaregroup.example,+14325481805,Cleveland,OH,24,General Dentistry — Group,active_client,2,organizational_design,healthy,2025-05-23
Camden Dental Group,https://camdendentalgroup953.example,+14297742754,New Orleans,LA,44,General Dentistry — Group,active_client,4,organizational_design,healthy,2025-12-09
Belmont Movement Clinic,https://belmontmovementclinic.example,+12164974460,Arlington,TX,17,Physical Therapy,active_client,1,organizational_design,healthy,2026-05-22
Riverstone Dental Care Group,https://riverstonedentalcaregroup.example,+16644884480,Bakersfield,CA,24,General Dentistry — Group,active_client,2,organizational_design,watchlist,2026-05-12
Riverstone Dental Associates,https://riverstonedentalassociates956.example,+13173813649,Tampa,FL,65,General Dentistry — Group,active_client,5,organizational_design,healthy,2025-08-22
Everly Family Dental,https://everlyfamilydental.example,+16629965586,Aurora,CO,5,General Dentistry — Solo,active_client,1,organizational_design,healthy,2024-10-05
Beacon Oral Health Partners,https://beaconoralhealthpartners.example,+19043523814,Santa Ana,CA,510,Dental Services Organization,active_client,30,organizational_design,healthy,2025-08-10
Lakeshore Dentistry,https://lakeshoredentistry959.example,+14244277839,Anaheim,CA,14,General Dentistry — Solo,active_client,1,organizational_design,healthy,2025-04-12
Redwood Dental Associates,https://redwooddentalassociates960.example,+12464222935,New York,NY,26,General Dentistry — Group,active_client,2,organizational_design,healthy,2026-03-16
Clearwater Movement Clinic,https://clearwatermovementclinic.example,+14263792880,Los Angeles,CA,16,Physical Therapy,active_client,1,organizational_design,healthy,2026-04-19
Granville Dental Studio,https://granvilledentalstudio.example,+18599433718,Chicago,IL,18,General Dentistry — Solo,active_client,1,organizational_design,healthy,2026-04-11
