Deal Name,Amount,Close Date,Associated Company,zia_deal_type,zia_service_type,zia_seats_committed,zia_hours_per_week,zia_expected_launch_date,zia_primary_challenge
Beacon Braces & Aligners — Momentum embed,22447,2026-12-03,beaconbracesaligners3454.com,Momentum,Claims & AR Follow-up;Practice Marketing,1,27,,Practice software gap
Kingsley Pediatric Dentistry — Momentum embed,23278,2026-10-24,kingsleypediatricdentistry3183.com,Momentum,Insurance Verification;Claims & AR Follow-up,1,28,,
Beacon Dental Care Group — Momentum embed,24941,2026-02-27,beacondentalcaregroup2579.com,Momentum,Patient Scheduling;Treatment Coordination,1,30,2026-03-14,
Cavendish Periodontics — Summit embed,33150,2025-02-18,cavendishperiodontics.com,Summit,Revenue Cycle / Billing;Office Management,1,29,2025-03-16,
Fairmont Sports Rehab — Momentum 2 seats,48219,2026-06-23,fairmontsportsrehab.com,Momentum,Recall & Reactivation;Patient Scheduling,2,29,2026-07-09,
Maplewood Periodontics — Momentum 3 seats,84799,2025-04-20,maplewoodperiodontics319.com,Momentum,Practice Marketing;Revenue Cycle / Billing,3,34,2025-05-01,
Ellswood Periodontal Specialists — Core embed,14964,2026-06-15,ellswoodperiodontalspecialis7906.com,Core,Patient Scheduling;Recall & Reactivation,1,24,,
Everly Dentistry — Core 2 seats,38658,2024-12-27,everlydentistry.com,Core,Recall & Reactivation;Patient Scheduling,2,31,,Communication style
Lockhart Family Dental — Momentum embed,20784,2025-07-17,lockhartfamilydental5598.com,Momentum,Claims & AR Follow-up,1,25,2025-08-02,
Harbour Dental Studio — Summit embed,20576,2025-12-07,harbourdentalstudio.com,Summit,Claims & AR Follow-up;Revenue Cycle / Billing,1,18,,
Harbour Oral Surgery Associates — Momentum embed,22447,2026-04-22,harbouroralsurgeryassociates.com,Momentum,Recall & Reactivation;Treatment Coordination,1,27,2026-05-16,
Ashford Root Canal Specialists — Momentum embed,16627,2025-03-23,ashfordrootcanalspecialists9222.com,Momentum,Treatment Coordination;Patient Scheduling,1,20,2025-04-06,
Cavendish Surgical Arts — Momentum embed,21615,2026-09-05,cavendishsurgicalarts3155.com,Momentum,Recall & Reactivation;Treatment Coordination,1,26,,Rate
Silverbrook Dental Studio — Momentum embed,23278,2026-10-03,silverbrookdentalstudio2368.com,Momentum,Practice Marketing;Revenue Cycle / Billing,1,28,,
Belmont Endodontic Associates — Core embed,21823,2025-03-13,belmontendodonticassociates.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,35,2025-03-29,
Draycott Family Dentistry Group — Momentum 2 seats,51544,2026-10-22,draycottfamilydentistrygroup3393.com,Momentum,Patient Scheduling;Recall & Reactivation,2,31,,Rate
Beacon Dentistry — Momentum embed,21615,2026-08-18,beacondentistry1819.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,26,,
Hollis Children’s Dental — Momentum embed,21615,2026-09-08,hollischildrensdental7689.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,26,,
Fieldstone Dental Associates — Momentum embed,26604,2025-12-30,fieldstonedentalassociates3596.com,Momentum,Insurance Verification;Patient Scheduling,1,32,,Practice software gap
Ellswood Braces & Aligners — Momentum embed,20784,2026-08-27,ellswoodbracesaligners385.com,Momentum,Patient Scheduling;Treatment Coordination,1,25,,
Thornbury Smile Partners — Core embed,20576,2025-04-21,thornburysmilepartners3455.com,Core,Patient Scheduling;Front Office / Patient Comms,1,33,2025-05-04,
Glenwood Orthodontic Group — Core embed,14964,2026-08-30,glenwoodorthodonticgroup1004.com,Core,Records & Charting Support;Insurance Verification,1,24,,
Fieldstone Sports Rehab — Core embed,19329,2026-01-11,fieldstonesportsrehab7951.com,Core,Recall & Reactivation,1,31,2026-01-23,
Belmont Orthodontic Specialists — Core embed,16212,2026-04-18,belmontorthodonticspecialist7919.com,Core,Patient Scheduling;Records & Charting Support,1,26,2026-04-26,
Lockhart Braces & Aligners — Momentum 2 seats,51544,2025-10-08,lockhartbracesaligners.com,Momentum,Treatment Coordination;Claims & AR Follow-up,2,31,2025-11-03,
Brookvale Family Dentistry Group — Momentum 3 seats,57364,2025-11-18,brookvalefamilydentistrygrou8141.com,Momentum,Patient Scheduling;Claims & AR Follow-up,3,23,,
Belmont Dental Alliance — Summit 2 seats,45725,2026-04-16,belmontdentalalliance5578.com,Summit,Claims & AR Follow-up,2,20,,
Prescott Orthodontic Specialists — Core embed,18706,2025-09-01,prescottorthodonticspecialis9702.com,Core,Front Office / Patient Comms,1,30,2025-09-09,
Westgate Dental Collective — Momentum embed,17459,2026-10-14,westgatedentalcollective.com,Momentum,Treatment Coordination;Insurance Verification,1,21,,
Northline Dentistry — Summit embed,38866,2025-04-20,northlinedentistry.com,Summit,Office Management;Revenue Cycle / Billing,1,34,2025-05-13,
Pinehurst Dental Care — Momentum embed,24941,2025-09-21,pinehurstdentalcare6090.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,1,30,2025-10-14,
Glenwood Dental Care Group — Momentum embed,19121,2026-01-05,glenwooddentalcaregroup.com,Momentum,Practice Marketing;Patient Scheduling,1,23,2026-01-15,
Thornbury Oral & Maxillofacial Surgery — Core embed,11847,2026-12-05,thornburyoralmaxillofacialsu3159.com,Core,Patient Scheduling;Insurance Verification,1,19,,
Cavendish Dental Care Group — Summit embed,29721,2026-08-24,cavendishdentalcaregroup522.com,Summit,Office Management;Operations Leadership,1,26,,
Draycott Family Dental — Momentum embed,24941,2026-07-19,draycottfamilydental1415.com,Momentum,Insurance Verification;Revenue Cycle / Billing,1,30,,
Granville Dental Care Group — Core embed,21823,2026-08-18,granvilledentalcaregroup1199.com,Core,Recall & Reactivation,1,35,,Rate
Maplewood Dental Care Group — Momentum embed,15796,2025-10-05,maplewooddentalcaregroup3696.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,19,2025-10-30,
Belmont Family Dental — Summit 2 seats,77732,2026-12-05,belmontfamilydental4368.com,Summit,Claims & AR Follow-up,2,34,,Communication style
Prescott Dental Group — Core embed,19329,2025-11-03,prescottdentalgroup8248.com,Core,Patient Scheduling;Recall & Reactivation,1,31,2025-11-14,
Maplewood Dental Group — Core 2 seats,26188,2025-02-24,maplewooddentalgroup2628.com,Core,Patient Scheduling;Recall & Reactivation,2,21,2025-03-17,
Beacon Family Dentistry Group — Summit embed,40009,2026-10-18,beaconfamilydentistrygroup.com,Summit,Office Management,1,35,,
Cedar Point Family Dental — Momentum embed,24941,2026-09-01,cedarpointfamilydental5959.com,Momentum,Practice Marketing;Insurance Verification,1,30,,
Alder Creek Surgical Arts — Core 2 seats,34917,2026-05-16,aldercreeksurgicalarts7225.com,Core,Recall & Reactivation;Insurance Verification,2,28,,
Glenwood Dental Partners — Summit embed,28578,2026-08-05,glenwooddentalpartners.com,Summit,Claims & AR Follow-up;Office Management,1,25,,
Sinclair Oral Surgery Associates — Momentum embed,29098,2026-08-19,sinclairoralsurgeryassociate.com,Momentum,Revenue Cycle / Billing;Claims & AR Follow-up,1,35,,
Brookvale Oral Health Partners — Core embed,14964,2026-09-18,brookvaleoralhealthpartners4660.com,Core,Front Office / Patient Comms;Recall & Reactivation,1,24,,
Glenwood Pediatric Dentistry — Momentum embed,19121,2026-09-17,glenwoodpediatricdentistry6506.com,Momentum,Revenue Cycle / Billing;Recall & Reactivation,1,23,,
Beacon Dental Group — Momentum embed,20784,2025-04-30,beacondentalgroup4385.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,25,2025-05-07,
Northline Family Dentistry Group — Core embed,16835,2025-01-03,northlinefamilydentistrygrou6963.com,Core,Recall & Reactivation;Records & Charting Support,1,27,2025-01-21,
Bayview Dental Studio — Momentum 2 seats,56532,2025-05-20,bayviewdentalstudio5096.com,Momentum,Treatment Coordination;Patient Scheduling,2,34,2025-06-17,
Clearwater Smile Partners — Momentum embed,17459,2026-08-19,clearwatersmilepartners6061.com,Momentum,Revenue Cycle / Billing;Treatment Coordination,1,21,,
Foxfield Dentistry — Core embed,19953,2025-04-24,foxfielddentistry5544.com,Core,Front Office / Patient Comms;Recall & Reactivation,1,32,2025-05-21,
Ridgeway Smile Dentistry — Momentum embed,19121,2026-10-19,ridgewaysmiledentistry3197.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,23,,Client paused decision
Oakhurst Dentistry — Momentum 3 seats,77316,2025-10-17,oakhurstdentistry4522.com,Momentum,Recall & Reactivation;Treatment Coordination,3,31,,Practice software gap
Beacon Oral & Maxillofacial Surgery — Momentum 2 seats,31592,2026-11-18,beaconoralmaxillofacialsurge4798.com,Momentum,Treatment Coordination;Insurance Verification,2,19,,Coverage hours mismatch
Hollis Pediatric Dentistry — Momentum embed,24941,2026-10-19,hollispediatricdentistry.com,Momentum,Recall & Reactivation;Practice Marketing,1,30,,
Oakhurst Orthodontic Specialists — Summit embed,21719,2026-11-11,oakhurstorthodonticspecialis8679.com,Summit,Claims & AR Follow-up,1,19,,
Draycott Sports Rehab — Core embed,17459,2026-01-08,draycottsportsrehab.com,Core,Records & Charting Support;Recall & Reactivation,1,28,,Communication style
Wexford Orthodontic Specialists — Momentum 3 seats,54870,2026-08-24,wexfordorthodonticspecialist.com,Momentum,Treatment Coordination;Claims & AR Follow-up,3,22,,
Everly Dental Studio — Momentum 2 seats,33254,2025-08-24,everlydentalstudio9600.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,2,20,2025-09-14,
Glenwood Oral Health Partners — Momentum embed,23278,2026-06-29,glenwoodoralhealthpartners1182.com,Momentum,Claims & AR Follow-up;Treatment Coordination,1,28,,Specialty experience
Camden Dental Group — Momentum embed,20784,2026-04-19,camdendentalgroup3067.com,Momentum,Treatment Coordination;Recall & Reactivation,1,25,2026-05-07,
Thornbury Dental Group — Core embed,16835,2025-07-02,thornburydentalgroup9228.com,Core,Insurance Verification;Front Office / Patient Comms,1,27,2025-07-12,
Pinehurst Smile Dentistry — Momentum embed,30760,2026-12-02,pinehurstsmiledentistry.com,Momentum,Patient Scheduling,1,37,,
Highpoint Dental Group — Momentum embed,24109,2026-10-15,highpointdentalgroup4890.com,Momentum,Claims & AR Follow-up;Patient Scheduling,1,29,,
Everly Dentistry — Momentum embed,12470,2026-06-04,everlydentistry6409.com,Momentum,Practice Marketing;Revenue Cycle / Billing,1,15,2026-06-23,
Redwood Rehab Associates — Core embed,17459,2026-10-03,redwoodrehabassociates9911.com,Core,Patient Scheduling;Records & Charting Support,1,28,,
Tarrant Dental Group — Momentum 2 seats,33254,2026-11-26,tarrantdentalgroup3887.com,Momentum,Practice Marketing;Patient Scheduling,2,20,,
Highpoint Kids Dental Care — Core embed,16212,2026-05-10,highpointkidsdentalcare3145.com,Core,Insurance Verification,1,26,2026-06-07,
Everly Root Canal Specialists — Momentum embed,28266,2026-10-31,everlyrootcanalspecialists8112.com,Momentum,Recall & Reactivation;Patient Scheduling,1,34,,
Hollis Oral Health Partners — Momentum embed,17459,2026-11-25,hollisoralhealthpartners3709.com,Momentum,Treatment Coordination;Recall & Reactivation,1,21,,
Belmont Dental Group — Core embed,16212,2026-11-01,belmontdentalgroup6806.com,Core,Insurance Verification;Records & Charting Support,1,26,,
Oakhurst Orthodontic Specialists — Core embed,10600,2026-10-29,oakhurstorthodonticspecialis556.com,Core,Records & Charting Support;Front Office / Patient Comms,1,17,,
Lockhart Sports Rehab — Momentum embed,24109,2026-06-19,lockhartsportsrehab.com,Momentum,Treatment Coordination;Claims & AR Follow-up,1,29,2026-07-07,
Thornbury Dental Partners — Core embed,19953,2026-10-10,thornburydentalpartners9528.com,Core,Recall & Reactivation;Records & Charting Support,1,32,,
Ellswood Oral & Maxillofacial Surgery — Momentum 2 seats,48219,2026-09-28,ellswoodoralmaxillofacialsur2876.com,Momentum,Insurance Verification,2,29,,
Ashford Dental Associates — Core embed,19953,2026-09-27,ashforddentalassociates3209.com,Core,Patient Scheduling;Recall & Reactivation,1,32,,
Clearwater Orthodontic Specialists — Core embed,21200,2025-08-14,clearwaterorthodonticspecial6018.com,Core,Front Office / Patient Comms;Patient Scheduling,1,34,2025-08-21,
Stonebridge Dental Studio — Summit embed,27435,2026-02-22,stonebridgedentalstudio.com,Summit,Office Management,1,24,,
Bayview Orthodontic Group — Core embed,14964,2026-08-12,bayvieworthodonticgroup6065.com,Core,Insurance Verification,1,24,,Specialty experience
Redwood Oral Health Partners — Core embed,14341,2026-09-11,redwoodoralhealthpartners173.com,Core,Recall & Reactivation;Patient Scheduling,1,23,,Client paused decision
Prescott Family Dentistry Group — Core embed,22447,2025-05-17,prescottfamilydentistrygroup8196.com,Core,Patient Scheduling;Records & Charting Support,1,36,2025-06-01,
Bayview Sports Rehab — Momentum embed,20784,2026-09-05,bayviewsportsrehab91.com,Momentum,Practice Marketing;Treatment Coordination,1,25,,
Highpoint Dental Care Group — Momentum embed,19953,2026-08-24,highpointdentalcaregroup.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,1,24,,Communication style
Cavendish Dental Studio — Momentum embed,22447,2025-11-20,cavendishdentalstudio6218.com,Momentum,Revenue Cycle / Billing;Recall & Reactivation,1,27,2025-12-15,
Wexford Smile Dentistry — Momentum embed,24941,2026-09-11,wexfordsmiledentistry5832.com,Momentum,Recall & Reactivation;Practice Marketing,1,30,,
Glenwood Oral & Maxillofacial Surgery — Momentum embed,21615,2025-01-19,glenwoodoralmaxillofacialsur.com,Momentum,Practice Marketing;Insurance Verification,1,26,2025-01-30,
Ridgeway Oral & Maxillofacial Surgery — Core embed,16835,2026-10-16,ridgewayoralmaxillofacialsur.com,Core,Records & Charting Support;Recall & Reactivation,1,27,,
Granville Family Dental — Summit embed,29721,2026-04-17,granvillefamilydental8186.com,Summit,Claims & AR Follow-up,1,26,2026-04-26,
Sinclair Periodontal Specialists — Core embed,21823,2026-09-23,sinclairperiodontalspecialis1453.com,Core,Recall & Reactivation;Insurance Verification,1,35,,
Bayview Oral & Maxillofacial Surgery — Core embed,11847,2026-07-15,bayvieworalmaxillofacialsurg2285.com,Core,Insurance Verification;Patient Scheduling,1,19,2026-08-03,
Cavendish Family Dentistry Group — Momentum embed,22447,2026-08-01,cavendishfamilydentistrygrou2225.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,27,2026-08-18,
Foxfield Smile Partners — Core embed,17459,2026-10-24,foxfieldsmilepartners.com,Core,Records & Charting Support;Insurance Verification,1,28,,Rate
Silverbrook Pediatric Dentistry — Core embed,11223,2026-11-06,silverbrookpediatricdentistr.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,18,,
Ashford Oral Surgery Associates — Momentum embed,21615,2026-09-09,ashfordoralsurgeryassociates.com,Momentum,Recall & Reactivation;Insurance Verification,1,26,,
Fairmont Rehab Associates — Momentum embed,20784,2026-04-05,fairmontrehabassociates.com,Momentum,Practice Marketing,1,25,2026-04-16,
Bayview Dental Collective — Momentum embed,26604,2026-01-04,bayviewdentalcollective.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,1,32,2026-01-30,
Ellswood Dental Alliance — Momentum embed,24109,2026-09-02,ellswooddentalalliance6614.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,29,,
Ashford Oral Health Partners — Core 2 seats,43646,2026-08-23,ashfordoralhealthpartners5760.com,Core,Patient Scheduling;Recall & Reactivation,2,35,,Rate
Prescott Dental Care Group — Momentum 2 seats,43231,2026-06-26,prescottdentalcaregroup4514.com,Momentum,Claims & AR Follow-up,2,26,2026-07-06,
Fairmont Dental Associates — Summit embed,38866,2026-09-22,fairmontdentalassociates9298.com,Summit,Claims & AR Follow-up;Office Management,1,34,,
Granville Orthodontic Specialists — Momentum embed,27435,2026-08-31,granvilleorthodonticspeciali.com,Momentum,Recall & Reactivation,1,33,,Specialty experience
Foxfield Dental Group — Core 3 seats,52376,2025-05-26,foxfielddentalgroup8756.com,Core,Recall & Reactivation;Patient Scheduling,3,28,,
Brookvale Children’s Dental — Momentum embed,21615,2025-11-13,brookvalechildrensdental8870.com,Momentum,Insurance Verification;Practice Marketing,1,26,2025-12-01,
Fieldstone Family Dentistry Group — Momentum embed,16627,2025-05-23,fieldstonefamilydentistrygro6327.com,Momentum,Insurance Verification,1,20,2025-06-06,
Harbour Dental Care — Core embed,13094,2026-04-14,harbourdentalcare3218.com,Core,Records & Charting Support,1,21,,Practice software gap
Summit Ridge Dental Collective — Momentum embed,23278,2025-06-09,summitridgedentalcollective4934.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,28,2025-06-18,
Cavendish Dental Associates — Core 2 seats,31176,2025-06-11,cavendishdentalassociates1678.com,Core,Insurance Verification;Recall & Reactivation,2,25,2025-07-05,
Lakeshore Dental Group — Momentum 2 seats,63183,2026-08-15,lakeshoredentalgroup7364.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,2,38,,
Wynn Dental Partners — Summit embed,25149,2026-03-08,wynndentalpartners.com,Summit,Operations Leadership;Claims & AR Follow-up,1,22,2026-04-01,
Cedar Point Family Dental — Summit 3 seats,120028,2026-09-14,cedarpointfamilydental7979.com,Summit,Office Management;Claims & AR Follow-up,3,35,,
Silverbrook Oral Surgery Associates — Momentum embed,25772,2026-08-16,silverbrookoralsurgeryassoci.com,Momentum,Claims & AR Follow-up;Patient Scheduling,1,31,,
Redwood Dental Associates — Summit embed,19433,2026-09-11,redwooddentalassociates1234.com,Summit,Claims & AR Follow-up,1,17,,
Sinclair Orthodontic Group — Momentum embed,19953,2026-07-09,sinclairorthodonticgroup.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,1,24,2026-07-18,
Westgate Oral Health Partners — Momentum embed,17459,2026-09-21,westgateoralhealthpartners3389.com,Momentum,Treatment Coordination;Insurance Verification,1,21,,Coverage hours mismatch
Maplewood Oral Surgery Associates — Momentum 2 seats,43231,2026-08-19,maplewoodoralsurgeryassociat7597.com,Momentum,Patient Scheduling;Insurance Verification,2,26,,
Highpoint Dentistry — Momentum 2 seats,29929,2025-11-25,highpointdentistry2338.com,Momentum,Treatment Coordination;Insurance Verification,2,18,2025-12-09,
Stonebridge Oral Health Partners — Momentum embed,28266,2026-11-15,stonebridgeoralhealthpartner2536.com,Momentum,Insurance Verification;Claims & AR Follow-up,1,34,,
Draycott Family Dentistry Group — Core embed,16835,2025-04-07,draycottfamilydentistrygroup8149.com,Core,Patient Scheduling;Insurance Verification,1,27,2025-04-28,
Maplewood Dentistry — Summit embed,41152,2025-07-08,maplewooddentistry.com,Summit,Claims & AR Follow-up,1,36,,
Glenwood Dental Associates — Momentum embed,14133,2026-03-31,glenwooddentalassociates3948.com,Momentum,Insurance Verification,1,17,2026-04-09,
Foxfield Dentistry — Momentum embed,19121,2026-05-25,foxfielddentistry9305.com,Momentum,Claims & AR Follow-up;Practice Marketing,1,23,,Client paused decision
Ashford Smile Dentistry — Momentum embed,28266,2026-10-21,ashfordsmiledentistry8472.com,Momentum,Treatment Coordination;Recall & Reactivation,1,34,,
Beacon Root Canal Specialists — Momentum embed,27435,2026-10-25,beaconrootcanalspecialists9247.com,Momentum,Insurance Verification;Recall & Reactivation,1,33,,
Foxfield Dental Care Group — Core embed,14964,2026-01-04,foxfielddentalcaregroup.com,Core,Records & Charting Support;Insurance Verification,1,24,2026-01-19,
Silverbrook Dental Associates — Momentum embed,22447,2025-08-02,silverbrookdentalassociates2298.com,Momentum,Patient Scheduling;Practice Marketing,1,27,2025-08-20,
Fairmont Dental Studio — Momentum embed,25772,2026-11-01,fairmontdentalstudio1914.com,Momentum,Claims & AR Follow-up;Treatment Coordination,1,31,,Specialty experience
Kingsley Dental Collective — Momentum embed,21615,2026-11-12,kingsleydentalcollective4719.com,Momentum,Recall & Reactivation;Insurance Verification,1,26,,
Camden Oral & Maxillofacial Surgery — Core 2 seats,43646,2026-09-01,camdenoralmaxillofacialsurge9111.com,Core,Front Office / Patient Comms,2,35,,
Foxfield Dental Alliance — Momentum 2 seats,51544,2026-10-14,foxfielddentalalliance.com,Momentum,Practice Marketing;Treatment Coordination,2,31,,
Pinehurst Oral Health Partners — Core embed,15588,2026-08-07,pinehurstoralhealthpartners.com,Core,Records & Charting Support,1,25,,
Harbour Dental Group — Momentum embed,25772,2025-05-12,harbourdentalgroup.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,31,2025-06-07,
Pinehurst Dentistry — Core 2 seats,38658,2026-09-27,pinehurstdentistry6585.com,Core,Front Office / Patient Comms;Insurance Verification,2,31,,Specialty experience
Wexford Oral & Maxillofacial Surgery — Core embed,16212,2026-08-22,wexfordoralmaxillofacialsurg.com,Core,Insurance Verification;Records & Charting Support,1,26,,
Wynn Dental Collective — Core embed,17459,2025-02-15,wynndentalcollective2499.com,Core,Records & Charting Support;Front Office / Patient Comms,1,28,2025-03-06,
Ridgeway Orthodontic Group — Momentum embed,29098,2025-06-03,ridgewayorthodonticgroup9819.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,1,35,2025-06-18,
Summit Ridge Orthodontics — Core embed,12470,2026-08-18,summitridgeorthodontics.com,Core,Records & Charting Support;Recall & Reactivation,1,20,,Client paused decision
Highpoint Periodontics — Summit embed,35437,2025-02-28,highpointperiodontics3110.com,Summit,Office Management;Claims & AR Follow-up,1,31,2025-03-28,
Foxfield Dental Collective — Momentum 3 seats,69834,2025-06-23,foxfielddentalcollective2130.com,Momentum,Recall & Reactivation;Practice Marketing,3,28,2025-07-03,
Thornbury Dental Group — Core 2 seats,29929,2025-05-15,thornburydentalgroup5704.com,Core,Front Office / Patient Comms;Records & Charting Support,2,24,2025-06-12,
Sinclair Dental Partners — Momentum embed,31592,2026-09-07,sinclairdentalpartners834.com,Momentum,Treatment Coordination;Practice Marketing,1,38,,
Fieldstone Dental Associates — Summit embed,28578,2026-03-28,fieldstonedentalassociates5417.com,Summit,Office Management;Operations Leadership,1,25,,
Meridian Specialty Care Partners — Core embed,11847,2025-06-13,meridianspecialtycarepartner6591.com,Core,Insurance Verification;Records & Charting Support,1,19,2025-06-29,
Belmont Orthodontics — Momentum embed,24941,2026-10-20,belmontorthodontics5295.com,Momentum,Recall & Reactivation;Patient Scheduling,1,30,,
Draycott Family Dental — Momentum embed,19953,2026-05-02,draycottfamilydental.com,Momentum,Claims & AR Follow-up;Recall & Reactivation,1,24,2026-05-24,
Beacon Dental Alliance — Momentum embed,19953,2026-05-30,beacondentalalliance1806.com,Momentum,Claims & AR Follow-up;Treatment Coordination,1,24,,
Belmont Oral Surgery Associates — Momentum embed,28266,2026-11-22,belmontoralsurgeryassociates8901.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,1,34,,Practice software gap
Windsor Dentistry — Momentum embed,29098,2025-02-24,windsordentistry286.com,Momentum,Patient Scheduling;Recall & Reactivation,1,35,,
Cedar Point Periodontics — Momentum 2 seats,51544,2026-11-17,cedarpointperiodontics.com,Momentum,Treatment Coordination;Recall & Reactivation,2,31,,Client paused decision
Beacon Dental Care Group — Summit embed,21719,2026-11-03,beacondentalcaregroup9927.com,Summit,Revenue Cycle / Billing;Operations Leadership,1,19,,
Oakhurst Dental Care — Core 3 seats,48635,2026-07-09,oakhurstdentalcare7705.com,Core,Records & Charting Support;Front Office / Patient Comms,3,26,2026-07-17,
Ashford Dental Care — Core embed,22447,2026-04-13,ashforddentalcare2958.com,Core,Patient Scheduling;Records & Charting Support,1,36,2026-04-21,
Camden Dental Group — Momentum 2 seats,43231,2026-11-11,camdendentalgroup2452.com,Momentum,Insurance Verification;Practice Marketing,2,26,,
Oakhurst Children’s Dental — Momentum embed,17459,2025-01-02,oakhurstchildrensdental1861.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,1,21,,Coverage hours mismatch
Draycott Dental Studio — Momentum embed,23278,2026-10-19,draycottdentalstudio3192.com,Momentum,Recall & Reactivation;Claims & AR Follow-up,1,28,,
Wexford Oral Surgery Associates — Core embed,14341,2025-02-14,wexfordoralsurgeryassociates8425.com,Core,Records & Charting Support;Patient Scheduling,1,23,2025-03-10,
Granville Endodontic Associates — Summit embed,36580,2026-03-08,granvilleendodonticassociate2260.com,Summit,Operations Leadership,1,32,2026-03-23,
Ridgeway Orthodontic Specialists — Momentum embed,24941,2026-09-16,ridgewayorthodonticspecialis7742.com,Momentum,Recall & Reactivation,1,30,,
Camden Periodontal Specialists — Core embed,16212,2026-11-04,camdenperiodontalspecialists9573.com,Core,Insurance Verification;Patient Scheduling,1,26,,Coverage hours mismatch
Bayview Smile Partners — Summit embed,26292,2025-03-29,bayviewsmilepartners4264.com,Summit,Revenue Cycle / Billing;Operations Leadership,1,23,2025-04-15,
Windsor Orthodontic Group — Summit embed,33150,2026-09-20,windsororthodonticgroup1667.com,Summit,Claims & AR Follow-up;Office Management,1,29,,
Clearwater Oral Surgery Associates — Momentum embed,28266,2026-11-26,clearwateroralsurgeryassocia9201.com,Momentum,Recall & Reactivation;Patient Scheduling,1,34,,
Clearwater Family Dental — Momentum embed,22447,2026-09-20,clearwaterfamilydental7132.com,Momentum,Patient Scheduling;Treatment Coordination,1,27,,
Belmont Dental Care Group — Momentum 2 seats,49882,2025-04-03,belmontdentalcaregroup7247.com,Momentum,Claims & AR Follow-up,2,30,,
Everly Dental Associates — Core 2 seats,39905,2026-02-01,everlydentalassociates3862.com,Core,Records & Charting Support;Recall & Reactivation,2,32,,
Clearwater Family Dental — Momentum 2 seats,46556,2026-03-31,clearwaterfamilydental4352.com,Momentum,Insurance Verification;Revenue Cycle / Billing,2,28,2026-04-21,
Westgate Dental Collective — Core embed,19329,2025-12-01,westgatedentalcollective.com,Core,Insurance Verification;Records & Charting Support,1,31,2025-12-13,
Clearwater Dental Care Group — Core embed,18082,2025-02-26,clearwaterdentalcaregroup7533.com,Core,Front Office / Patient Comms,1,29,2025-03-12,
Riverstone Orthodontic Specialists — Momentum embed,29929,2026-01-04,riverstoneorthodonticspecial.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,1,36,2026-01-21,
Camden Dental Studio — Summit 2 seats,54870,2026-09-15,camdendentalstudio.com,Summit,Revenue Cycle / Billing,2,24,,
Everly Oral & Maxillofacial Surgery — Core 2 seats,21200,2026-10-02,everlyoralmaxillofacialsurge.com,Core,Patient Scheduling;Recall & Reactivation,2,17,,
Bramwell Smile Partners — Momentum embed,22447,2025-09-05,bramwellsmilepartners2665.com,Momentum,Insurance Verification;Recall & Reactivation,1,27,2025-09-20,
Ridgeway Dentistry — Momentum embed,19121,2026-09-30,ridgewaydentistry2602.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,1,23,,
Cavendish Oral & Maxillofacial Surgery — Core 2 seats,41152,2026-09-07,cavendishoralmaxillofacialsu4157.com,Core,Patient Scheduling;Recall & Reactivation,2,33,,Practice software gap
Nortonville Oral Surgery Associates — Core embed,17459,2026-02-06,nortonvilleoralsurgeryassoci.com,Core,Front Office / Patient Comms,1,28,,Rate
Ridgeway Family Dentistry Group — Momentum embed,19953,2026-11-03,ridgewayfamilydentistrygroup7118.com,Momentum,Claims & AR Follow-up,1,24,,Specialty experience
Northline Dental Alliance — Summit embed,37723,2025-09-20,northlinedentalalliance2290.com,Summit,Operations Leadership;Claims & AR Follow-up,1,33,,Client paused decision
Wexford Dental Care — Momentum embed,22447,2026-10-05,wexforddentalcare.com,Momentum,Insurance Verification;Recall & Reactivation,1,27,,
Sinclair Dental Associates — Momentum 3 seats,59858,2026-11-13,sinclairdentalassociates.com,Momentum,Treatment Coordination;Practice Marketing,3,24,,
Everly Family Dentistry Group — Momentum embed,15796,2026-01-11,everlyfamilydentistrygroup5780.com,Momentum,Insurance Verification;Revenue Cycle / Billing,1,19,2026-02-08,
Lakeshore Dentistry — Summit embed,24006,2025-04-13,lakeshoredentistry9444.com,Summit,Operations Leadership,1,21,2025-04-25,
